match_date,event,round,player_a,player_b,a_points,b_points,point_diff,winner
2024-06-04,Indonesia Open 2024,Round of 16,Lee Zii Jia,Weng Hong Yang,75486.0,55150.0,20336.0,1
2024-06-04,Indonesia Open 2024,Round of 16,Li Shifeng,Christo Popov,83456.0,54285.0,29171.0,1
2024-06-04,Indonesia Open 2024,Round of 16,Chou Tien Chen,Leong Jun Hao,63467.0,39898.0,23569.0,0
2024-06-04,Indonesia Open 2024,Round of 16,Lu Guang Zu,Toma Junior Popov,58791.0,53355.0,5436.0,0
2024-06-04,Indonesia Open 2024,Round of 16,Shi Yu Qi,Rasmus Gemke,94915.0,49134.0,45781.0,1
2024-06-04,Indonesia Open 2024,Round of 32,Anders Antonsen,Lee Cheuk Yiu,88391.0,58219.0,30172.0,1
2024-06-04,Indonesia Open 2024,Round of 32,Chico Aura Dwi Wardoyo,Kantaphon Wangcharoen,45175.0,33330.0,11845.0,0
2024-06-04,Indonesia Open 2024,Round of 32,Anthony Sinisuka Ginting,Kenta Nishimoto,79585.0,64742.0,14843.0,1
2024-06-04,Indonesia Open 2024,Round of 32,Lakshya Sen,Kanta Tsuneyama,61718.0,45840.0,15878.0,1
2024-06-04,Indonesia Open 2024,Round of 32,Kunlavut Vitidsarn,Loh Kean Yew,76808.0,64183.0,12625.0,1
2024-06-04,Indonesia Open 2024,Round of 32,Prannoy H. S.,Priyanshu Rajawat,70632.0,41810.0,28822.0,0
2024-06-04,Indonesia Open 2024,Round of 32,Lee Zii Jia,Ng Ka Long Angus,75486.0,54236.0,21250.0,1
2024-06-04,Indonesia Open 2024,Round of 32,Weng Hong Yang,Kiran George,55150.0,39765.0,15385.0,1
2024-06-04,Indonesia Open 2024,Round of 32,Christo Popov,Julien Carraggi,54285.0,35947.0,18338.0,1
2024-06-04,Indonesia Open 2024,Round of 32,Li Shifeng,Brian Yang,83456.0,51173.0,32283.0,1
2024-06-04,Indonesia Open 2024,Round of 32,Chou Tien Chen,Lin Chun Yi,63467.0,58161.0,5306.0,1
2024-06-04,Indonesia Open 2024,Round of 32,Jonatan Christie,Leong Jun Hao,91727.0,39898.0,51829.0,0
2024-06-04,Indonesia Open 2024,Round of 32,Wang Tzu Wei,Toma Junior Popov,53883.0,53355.0,528.0,0
2024-06-04,Indonesia Open 2024,Round of 32,Naraoka Kodai,Rasmus Gemke,83597.0,49134.0,34463.0,0
2024-06-04,Indonesia Open 2024,Round of 32,Lu Guang Zu,Su Li Yang,58791.0,44480.0,14311.0,1
2024-06-04,Indonesia Open 2024,Round of 32,Shi Yu Qi,Lei Lan Xi,94915.0,41526.0,53389.0,1
